"OBÈINE","VRSTA ODJEMALCA","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Mokronog - Trebelno","Gospodinjstva",501305,422253,462096,422868,448556,411972,408859,414597,417960,452301,490485,559160,557951,468225,481041,458292,456304,431177,417160,415871,404098,467210,490264,554787,566950,474133,496554,446803,409044,390956,401400,389120,395661
"Mokronog - Trebelno","Poslovni subjekti",570179,541298,547651,258217,381876,458293,522792,408167,565030,602196,591169,535409,559951,517320,593181,501352,542297,521518,511256,380324,515186,493485,536392,466135,570278,506582,487036,390191,462715,475911,465506,348489,472933
"Moravèe","Vrsta odjemalca - SKUPAJ",1784908,1620435,1648503,1305206,1374304,1306755,1416805,1275142,1458324,1594930,1705746,1739231,1868924,1667100,1854694,1668465,1629211,1527824,1485637,1323411,1463591,1670518,1764569,1890912,1955057,1663890,1836535,1550315,1484632,1498191,1364261,1243054,1405869
"Moravèe","Gospodinjstva",982695,816013,882641,765988,721434,665998,641627,659074,660274,800471,909002,1032724,1075262,847729,926428,823323,762950,679159,648987,659088,661408,818084,885999,1120724,1089463,887869,916340,801789,685623,651774,620533,621417,647628
"Moravèe","Poslovni subjekti",802213,804422,765862,539218,652870,640757,775178,616068,798050,794459,796744,706507,793662,819371,928266,845142,866261,848665,836650,664323,802183,852434,878570,770188,865594,776021,920195,748526,799009,846417,743728,621637,758241
"Moravske Toplice","Vrsta odjemalca - SKUPAJ",2776239,2370783,1955997,1330300,1359581,1818692,2264481,2356630,2153657,2134893,1811966,2088460,2038826,1819478,1834792,1691279,1696445,2131258,2355268,2318860,2150519,2460445,2461917,2795915,2746858,2304950,2527456,2254687,2145584,2051581,2453888,2277537,2058772
"Moravske Toplice","Gospodinjstva",1163930,924653,976131,840721,824185,806382,806176,836530,788749,928521,993481,1194192,1198667,1029195,998939,934704,855661,831707,838945,823267,787640,965090,1028955,1297284,1267342,1010940,1060299,907652,780360,745994,799240,782998,766778
"Moravske Toplice","Poslovni subjekti",1612309,1446130,979866,489579,535396,1012310,1458305,1520100,1364908,1206372,818485,894268,840159,790283,835853,756575,840784,1299551,1516323,1495593,1362879,1495355,1432962,1498631,1479516,1294010,1467157,1347035,1365224,1305587,1654648,1494539,1291994
"Mozirje","Vrsta odjemalca - SKUPAJ",1721363,1504055,1467669,1184217,1185064,1157089,1261914,1267852,1232902,1363892,1399822,1608610,1692849,1465710,1520667,1307190,1293161,1218236,1271471,1291014,1229931,1386699,1520158,1870049,1853603,1517485,1642245,1338026,1267196,1228264,1212420,1218356,1167223
"Mozirje","Gospodinjstva",877826,713268,771353,654338,613396,537052,546767,549238,545221,688077,807070,987033,982269,794156,809089,717177,632279,535020,511409,535884,523208,683212,790400,1035064,988045,772023,811588,655815,529735,476831,474323,477207,507078
"Mozirje","Poslovni subjekti",843537,790787,696316,529879,571668,620037,715147,718614,687681,675815,592752,621577,710580,671554,711578,590013,660882,683216,760062,755130,706723,703487,729758,834985,865558,745462,830657,682211,737461,751433,738097,741149,660145
"Murska Sobota","Vrsta odjemalca - SKUPAJ",10659692,9047826,9097425,7533959,7608757,7892157,8684555,8557641,8346674,8723558,8773043,9687038,9636470,8643057,9551463,8361365,8272953,8646788,9386187,8646564,8310173,9070688,9658198,10621931,10681187,8977986,9862021,8433886,8428313,8636424,8878803,8490633,8047107
"Murska Sobota","Gospodinjstva",3748591,3000089,3148203,2665328,2443922,2183339,2189601,2254810,2137127,2727373,3206396,3859361,3749987,3187186,3188405,2855011,2480209,2247671,2240379,2168566,2112447,2779656,3137573,3827805,3797659,3047409,3226854,2678295,2202144,2051423,2152731,2085972,2079129
"Murska Sobota","Poslovni subjekti",6911101,6047737,5949222,4868631,5164835,5708818,6494954,6302831,6209547,5996185,5566647,5827677,5886483,5455871,6363058,5506354,5792744,6399117,7145808,6477998,6197726,6291032,6520625,6794126,6883528,5930577,6635167,5755591,6226169,6585001,6726072,6404661,5967978
"Muta","Vrsta odjemalca - SKUPAJ",3178056,2847030,3278863,2680884,2588893,3199272,1407288,1973600,3023359,2902895,2916242,2636620,3362440,3267041,3566935,2905238,3269971,3026044,2050970,1993550,2732354,2873578,2818694,2744950,3090828,3082727,3428170,3298639,3350321,3256944,2135850,2283818,3185197
"Muta","Gospodinjstva",598049,500891,546186,491569,464172,464723,412361,412579,415611,500744,558114,668068,669112,547448,563590,515126,470542,435418,405534,406419,409237,487502,541941,741398,673118,522857,559406,479872,406194,369440,371732,365907,380105
"Muta","Poslovni subjekti",2580007,2346139,2732677,2189315,2124721,2734549,994927,1561021,2607748,2402151,2358128,1968552,2693328,2719593,3003345,2390112,2799429,2590626,1645436,1587131,2323117,2386076,2276753,2003552,2417710,2559870,2868764,2818767,2944127,2887504,1764118,1917911,2805092
"Naklo","Vrsta odjemalca - SKUPAJ",2337756,2206111,2426359,1895678,2044151,2124786,2219444,2234926,2221882,2339068,2321091,2551714,2591681,2196288,2435124,2183024,2245588,2222473,2268792,2276132,2274637,2358765,2443441,2917866,2619285,2277725,2544577,2177989,2311252,2287935,2292815,2235868,2254926
"Naklo","Gospodinjstva",1087657,907756,952879,834857,783330,694827,712810,762954,679809,859429,985791,1121162,1246695,980765,1003197,887593,808810,686803,656590,751843,699144,885082,999948,1257043,1220013,1015038,1067207,883946,743399,688658,682726,649036,688473
"Naklo","Poslovni subjekti",1250099,1298355,1473480,1060821,1260821,1429959,1506634,1471972,1542073,1479639,1335300,1430552,1344986,1215523,1431927,1295431,1436778,1535670,1612202,1524289,1575493,1473683,1443493,1660823,1399272,1262687,1477370,1294043,1567853,1599277,1610089,1586832,1566453
"Nazarje","Vrsta odjemalca - SKUPAJ",2186340,2066165,1715424,1646090,1933681,1949995,1653657,2132018,2149032,2162717,2252977,2184102,2402846,2136653,2442737,2002683,2209701,2180107,1709839,2165038,2119907,2179467,2294947,2185875,2360439,2003497,2343198,1708940,2013118,1850641,1323050,1929182,1889727
"Nazarje","Gospodinjstva",453775,376431,412547,362178,350556,325935,321214,327934,321910,370181,412586,496321,473092,387834,415871,372907,352212,324117,309762,315579,306406,365620,385867,502067,454014,361054,393901,342316,307875,283507,283259,282928,288312
"Nazarje","Poslovni subjekti",1732565,1689734,1302877,1283912,1583125,1624060,1332443,1804084,1827122,1792536,1840391,1687781,1929754,1748819,2026866,1629776,1857489,1855990,1400077,1849459,1813501,1813847,1909080,1683808,1906425,1642443,1949297,1366624,1705243,1567134,1039791,1646254,1601415
"Nova Gorica","Vrsta odjemalca - SKUPAJ",13207123,12214407,12114607,9947843,10580862,11740595,13472500,12858899,12519017,12002075,11723049,11989959,12418207,11797365,12654470,11449247,12060335,13088207,14071500,12701931,12840949,12777723,12564027,13791096,13144787,12538264,13512873,11795636,12624943,13289167,13849378,12510269,12388711
"Nova Gorica","Gospodinjstva",4778468,4400200,4636653,4203237,4067416,3762424,3910289,3841754,3833763,4196221,4786335,5004371,5227492,4862642,5023368,4569449,4312260,3892047,4004829,3954842,3765395,4512242,4630762,5215220,5181034,4872337,5023256,4477440,4044028,3886736,4108126,3923193,3741661
"Nova Gorica","Poslovni subjekti",8428655,7814207,7477954,5744606,6513446,7978171,9562211,9017145,8685254,7805854,6936714,6985588,7190715,6934723,7631102,6879798,7748075,9196160,10066671,8747089,9075554,8265481,7933265,8575876,7963753,7665927,8489617,7318196,8580915,9402431,9741252,8587076,8647050
"Novo mesto","Vrsta odjemalca - SKUPAJ",27001219,25814613,23052419,19834924,25447356,26470183,29828296,23124298,27429667,26256123,25214263,24838980,23282193,23184793,25512665,21613913,23991740,26851838,16765289,31568849,23853463,24075230,24171624,25159011,24438511,21594412,24263829,22215933,24227254,25777927,25650973,23413738,24342612
"Novo mesto","Gospodinjstva",5988367,5010497,5350408,4842839,4464594,4061043,4092856,4199218,4186689,4882028,5653423,6459569,6439668,5333780,5456135,5062107,4594649,4175340,4131695,4083814,4049807,5071174,5412657,6551659,6465819,5320185,5564101,4780161,4191926,3987388,4085168,3878855,4087565
"Novo mesto","Poslovni subjekti",21012852,20804116,17702011,14992085,20982762,22409140,25735440,18925080,23242978,21374095,19560840,18379411,16842525,17851013,20056530,16551806,19397091,22676498,12633594,27485035,19803656,19004056,18758967,18607352,17972692,16274227,18699728,17435772,20035328,21790539,21565805,19534883,20255047
"Odranci","Vrsta odjemalca - SKUPAJ",860130,762768,671978,504629,673352,668730,767315,608282,747992,860775,809611,785010,804513,766112,827883,750218,747715,736903,779153,564367,650675,842737,844027,741483,759361,650493,693536,563013,688152,678813,665076,550773,661447
"Odranci","Gospodinjstva",271406,209688,223639,196199,187262,174894,185129,188362,172011,205830,225738,281307,270262,229540,226060,207141,194337,194124,201345,185705,175318,215697,245300,283602,275808,219392,235021,203755,174418,176212,187130,177552,173676
"Odranci","Poslovni subjekti",588724,553080,448339,308430,486090,493836,582186,419920,575981,654945,583873,503703,534251,536572,601823,543077,553378,542779,577808,378662,475357,627040,598727,457881,483553,431101,458515,359258,513734,502601,477946,373221,487771
"Oplotnica","Vrsta odjemalca - SKUPAJ",1108579,902688,945438,829077,824316,782063,796550,785790,783783,883918,945642,1140721,1087361,942197,998287,909526,867148,806141,794855,771104,804400,916169,963330,1139995,1090397,904612,999692,868804,795363,777428,740996,739427,774970
"Oplotnica","Gospodinjstva",777105,592686,648821,597407,562812,523397,534795,543053,522401,600597,652474,826628,779695,663102,672584,620862,574931,530412,508309,516850,507658,596887,644328,788629,742045,606652,658913,573428,503573,479425,480906,472747,484457
"Oplotnica","Poslovni subjekti",331474,310002,296617,231670,261504,258666,261755,242737,261382,283321,293168,314093,307666,279095,325703,288664,292217,275729,286546,254254,296742,319282,319002,351366,348352,297960,340779,295376,291790,298003,260090,266680,290513
"Ormož","Vrsta odjemalca - SKUPAJ",4026209,3574770,3558847,3339817,3553268,3381468,3793444,3411291,3761633,3835776,3729036,3952077,3885770,3450853,3865545,3488895,3612679,3500861,3301897,3253489,3275972,3543801,3585228,4214407,4017826,3404364,3700255,3229178,3214004,3208146,3416674,3318270,3248604
"Ormož","Gospodinjstva",2027631,1635689,1758780,1583488,1542304,1452185,1469558,1472585,1430662,1628052,1793530,2137249,2037117,1736082,1778754,1648197,1514569,1414204,1460301,1433545,1400773,1659208,1760722,2202106,2052711,1681476,1834508,1572391,1384803,1346671,1419313,1377160,1380064
"Ormož","Poslovni subjekti",1998578,1939081,1800067,1756329,2010964,1929283,2323886,1938706,2330971,2207724,1935506,1814828,1848653,1714771,2086791,1840698,2098110,2086657,1841596,1819944,1875199,1884593,1824506,2012301,1965115,1722888,1865747,1656787,1829201,1861475,1997361,1941110,1868540
"Osilnica","Vrsta odjemalca - SKUPAJ",65814,63925,64838,53234,54319,70099,74562,74463,77531,66321,56361,67017,58305,53638,59065,59575,69524,72242,77926,78106,69519,87744,71502,78949,62215,61750,77193,70524,72984,71072,78253,73607,66012
"Osilnica","Gospodinjstva",29951,28451,30124,29481,30507,30076,30924,30324,33726,28438,30815,34565,33854,30072,32404,31905,30963,29481,31064,31623,27454,42993,29648,33683,34616,29617,31715,30500,29748,30827,26760,32317,27817
"Osilnica","Poslovni subjekti",35863,35474,34714,23753,23812,40023,43638,44139,43805,37883,25546,32452,24451,23566,26661,27670,38561,42761,46862,46483,42065,44751,41854,45266,27599,32133,45478,40024,43236,40245,51493,41290,38195
"Pesnica","Vrsta odjemalca - SKUPAJ",2494683,2116667,2111728,1894300,1761721,1800831,1821081,1754175,1721946,1967982,2202087,2590597,2625618,2272076,2282827,2070602,1872085,1807752,1849467,1758719,1726431,2077319,2344491,2884218,2800372,2293517,2445483,2037934,1793007,1736347,1777704,1759312,1726440
"Pesnica","Gospodinjstva",1601812,1371063,1427305,1342112,1198991,1194498,1175472,1078027,1045937,1264058,1510884,1839969,1838526,1541124,1547329,1434479,1248102,1125742,1101932,1062296,1047765,1334104,1533620,1980673,1897243,1527575,1608874,1349368,1119529,1033362,1058741,1034036,1029664
"Pesnica","Poslovni subjekti",892871,745604,684423,552188,562730,606333,645609,676148,676009,703924,691203,750628,787092,730952,735498,636123,623983,682010,747535,696423,678666,743215,810871,903545,903129,765942,836609,688566,673478,702985,718963,725276,696776
"Piran/Pirano","Vrsta odjemalca - SKUPAJ",9269393,8599965,7997073,6067785,6067519,7290244,9437339,10174993,8740811,7718062,6657432,7627115,8168684,7079919,7421665,7004150,6967546,9184227,10461174,10406134,8758791,8315368,8400731,9609893,9297507,8493495,9332002,8692300,8371673,9466589,10805843,10359515,8280226
"Piran/Pirano","Gospodinjstva",4291142,3833405,4017335,3445682,3100967,2935417,3234500,3437914,3056739,3293663,3649171,4228527,4657646,3989464,4083742,3880722,3301962,3463490,3400155,3463930,3118625,3488006,3774773,4546346,4581370,4270457,4317582,3740130,3017702,3079199,3592443,3346558,2693434
"Piran/Pirano","Poslovni subjekti",4978251,4766560,3979738,2622103,2966552,4354827,6202839,6737079,5684072,4424399,3008261,3398588,3511038,3090455,3337923,3123428,3665584,5720737,7061019,6942204,5640166,4827362,4625958,5063547,4716137,4223038,5014420,4952170,5353971,6387390,7213400,7012957,5586792
"Pivka","Vrsta odjemalca - SKUPAJ",5146442,4804963,4981121,4193863,4642323,4654718,4938614,4652020,4758192,3928882,5924044,4961109,5024388,4615027,5046532,4587150,5255505,4956610,5031950,4640851,5133021,5160643,5156216,5380459,5403276,5037812,5553271,5025288,5362112,5453171,5107240,5138890,4863630
"Pivka","Gospodinjstva",893034,813463,902136,796711,822771,730364,742470,747739,734557,848606,885726,998155,1012941,859659,904052,833134,1028625,747610,748423,760908,751826,839393,853970,981389,992921,863672,928410,831520,712799,693757,718063,713663,736211
"Pivka","Poslovni subjekti",4253408,3991500,4078985,3397152,3819552,3924354,4196144,3904281,4023635,3080276,5038318,3962954,4011447,3755368,4142480,3754016,4226880,4209000,4283527,3879943,4381195,4321250,4302246,4399070,4410355,4174140,4624861,4193768,4649313,4759414,4389177,4425227,4127419
"Podèetrtek","Vrsta odjemalca - SKUPAJ",2080881,1749376,1471364,998158,1058657,1580677,1913143,1965682,1850076,1659736,1431004,1610817,1597056,1334784,1361964,1234207,1515366,1777669,1905197,1949878,1844587,2000615,1901574,2031309,2050419,1732123,1868967,1678051,1642546,1766319,1857943,1867201,1638245
"Podèetrtek","Gospodinjstva",608694,496759,577767,503092,486829,447281,471011,485290,450125,517536,571669,702235,654107,533030,553053,513655,474670,456980,470066,470221,452159,530617,553283,702427,670035,531076,562434,505043,450978,437001,454114,444858,437068
"Podèetrtek","Poslovni subjekti",1472187,1252617,893597,495066,571828,1133396,1442132,1480392,1399951,1142200,859335,908582,942949,801754,808911,720552,1040696,1320689,1435131,1479657,1392428,1469998,1348291,1328882,1380384,1201047,1306533,1173008,1191568,1329318,1403829,1422343,1201177
"Podlehnik","Vrsta odjemalca - SKUPAJ",607075,506924,523765,538016,495939,468132,510342,521915,487440,509102,530593,610455,592018,509610,530539,495056,475013,484869,483393,486599,490509,536028,566552,647794,615088,523185,569446,514523,483181,487838,518116,507545,514649
"Podlehnik","Gospodinjstva",274998,231925,252984,237944,233835,216074,228096,229934,210597,235205,257242,312733,304539,251212,259407,244426,226830,217272,220608,221196,217573,252793,272434,320671,312613,255282,273816,245478,218841,210682,222714,210967,217786
"Podlehnik","Poslovni subjekti",332077,274999,270781,300072,262104,252058,282246,291981,276843,273897,273351,297722,287479,258398,271132,250630,248183,267597,262785,265403,272936,283235,294118,327123,302475,267903,295630,269045,264340,277156,295402,296578,296863
"Podvelka","Vrsta odjemalca - SKUPAJ",626116,597072,585648,489582,521463,509498,549399,504744,534393,560319,586148,624351,650583,596421,641646,583109,576994,511140,495100,488395,509130,589916,627682,911528,546198,631443,674095,560009,523023,496446,503081,485414,517983
"Podvelka","Gospodinjstva",396168,370719,379887,344531,330819,325587,336810,307651,320917,357138,369709,433958,437547,406731,412864,368675,357176,310848,301169,312752,296180,349690,362033,455272,444068,365648,388186,349467,310516,290285,294680,291033,298918
"Podvelka","Poslovni subjekti",229948,226353,205761,145051,190644,183911,212589,197093,213476,203181,216439,190393,213036,189690,228782,214434,219818,200292,193931,175643,212950,240226,265649,456256,102130,265795,285909,210542,212507,206161,208401,194381,219065
"Poljèane","Vrsta odjemalca - SKUPAJ",2334853,2179726,2120775,1738423,1810864,1899547,1957684,1983013,2192093,2454393,2405279,2499963,2710380,2423606,2656945,2385319,2434070,2367993,2317391,2128052,2158009,2387955,2483498,2707158,2955202,2616930,2921626,2306921,2333683,2209599,2256817,2215512,2146365
"Poljèane","Gospodinjstva",785682,638028,709655,615564,565765,521595,519823,537289,516409,605228,726658,851373,869989,691947,721163,646569,579134,535455,531036,534164,519537,653176,711456,931540,890581,707493,768413,650243,560084,545587,545797,556734,545327
"Poljèane","Poslovni subjekti",1549171,1541698,1411120,1122859,1245099,1377952,1437861,1445724,1675684,1849165,1678621,1648590,1840391,1731659,1935782,1738750,1854936,1832538,1786355,1593888,1638472,1734779,1772042,1775618,2064621,1909437,2153213,1656678,1773599,1664012,1711020,1658778,1601038
"Polzela","Vrsta odjemalca - SKUPAJ",1989357,1692635,1805337,1519724,1463289,1404203,1470380,1425643,1452027,1678500,1857844,2060660,2043455,1820099,1903899,1621525,1534242,1468270,1448965,1399071,1417578,1695499,1870791,2207092,2122537,1778931,1879766,1555319,1402653,1400730,1459257,1362065,1386946
"Polzela","Gospodinjstva",1250892,1037636,1142027,958272,880954,777837,779600,792499,771628,972138,1169962,1376639,1386964,1103584,1150852,1017792,901577,788983,775701,769833,764479,991591,1118822,1422354,1361244,1096232,1140903,944349,780941,707935,728494,701759,736949
"Polzela","Poslovni subjekti",738465,654999,663310,561452,582335,626366,690780,633144,680399,706362,687882,684021,656491,716515,753047,603733,632665,679287,673264,629238,653099,703908,751969,784738,761293,682699,738863,610970,621712,692795,730763,660306,649997
"Postojna","Vrsta odjemalca - SKUPAJ",7866712,7316796,7441652,5965360,5989616,6259471,6777201,6222894,7234142,7443879,7267060,7504923,7767625,7104243,7879460,7098087,7316295,7168515,7629588,6721849,7701557,7754252,8028458,8297729,8437499,7742060,8717597,7516585,7633076,7725919,7585669,6608633,7474529
"Postojna","Gospodinjstva",2402136,2089664,2349638,2096968,2054872,1833347,1840074,1781721,2178073,2148125,2294043,2642016,2681282,2224097,2349439,2201185,2178669,1830937,1801572,1846840,2089374,2139229,2292739,2741623,2689388,2326171,2474393,2152771,1912971,1735541,1728888,1690443,1779539
"Postojna","Poslovni subjekti",5464576,5227132,5092014,3868392,3934744,4426124,4937127,4441173,5056069,5295754,4973017,4862907,5086343,4880146,5530021,4896902,5137626,5337578,5828016,4875009,5612183,5615023,5735719,5556106,5748111,5415889,6243204,5363814,5720105,5990378,5856781,4918190,5694990
"Prebold","Vrsta odjemalca - SKUPAJ",4060292,3724027,3578143,2131921,2832042,3465152,3986760,3226481,3829058,4016473,4086045,3363973,4150745,3553229,4099364,3724282,3733575,3746295,3832297,3355785,3385470,3846061,4072910,3680692,4228041,3824828,4268462,3547272,3686209,3920466,3977704,3051038,3746011
"Prebold","Gospodinjstva",1023103,842384,907414,787657,722320,652486,653973,661858,674275,806827,941892,1121973,1130113,902508,941768,841126,774665,657052,649753,642572,654723,805788,905346,1080971,1122976,859958,923516,777316,633086,583934,585740,576794,598079
"Prebold","Poslovni subjekti",3037189,2881643,2670729,1344264,2109722,2812666,3332787,2564623,3154783,3209646,3144153,2242000,3020632,2650721,3157596,2883156,2958910,3089243,3182544,2713213,2730747,3040273,3167564,2599721,3105065,2964870,3344946,2769956,3053123,3336532,3391964,2474244,3147932
"Preddvor","Vrsta odjemalca - SKUPAJ",940465,875152,903937,782534,763011,744533,666199,694421,692918,821773,885253,953795,1017808,841434,891349,827593,785364,832667,748148,737710,751927,846493,905332,1039312,1047930,879762,946661,832486,785641,694600,703704,714259,736972
"Preddvor","Gospodinjstva",641073,588437,626632,556316,524125,502475,430204,441617,446957,548137,612546,678728,740751,622293,622390,573097,524217,559426,480459,478851,484344,573642,622414,739319,750141,634630,656360,583894,512746,438763,435295,457102,469033
"Preddvor","Poslovni subjekti",299392,286715,277305,226218,238886,242058,235995,252804,245961,273636,272707,275067,277057,219141,268959,254496,261147,273241,267689,258859,267583,272851,282918,299993,297789,245132,290301,248592,272895,255837,268409,257157,267939
"Prevalje","Vrsta odjemalca - SKUPAJ",3129733,2901902,2997426,2518462,2544656,2548583,2603903,2618980,2669193,2914471,2992890,3065794,3243276,2882812,2837198,3122503,2841195,2684853,2660225,2628183,2679900,2873103,2975190,3248552,3319086,2844910,3141691,2711416,2715622,2708439,2487200,2415928,2568018
"Prevalje","Gospodinjstva",1201916,1039878,1121674,971943,951776,819011,816403,821399,829176,1016870,1134845,1321979,1346825,1088400,1113133,1009494,959091,800107,783203,788013,800636,976173,1056735,1365428,1312763,1039587,1097416,952647,829722,753502,753197,753006,798304
"Prevalje","Poslovni subjekti",1927817,1862024,1875752,1546519,1592880,1729572,1787500,1797581,1840017,1897601,1858045,1743815,1896451,1794412,1724065,2113009,1882104,1884746,1877022,1840170,1879264,1896930,1918455,1883124,2006323,1805323,2044275,1758769,1885900,1954937,1734003,1662922,1769714
"Ptuj","Vrsta odjemalca - SKUPAJ",12805444,11184039,10942821,9233340,9464981,9861059,10577591,10509286,10351662,10973231,10864478,11859819,11849058,10519774,11548499,10412490,10306581,10741992,11106795,10677004,10424602,11318548,11770981,12790022,12844512,11040156,12298494,10655171,10762874,10823975,11001673,10750204,10425888
"Ptuj","Gospodinjstva",4420694,3546429,3786041,3220408,2948167,2631102,2628140,2693029,2614876,3278904,3881504,4687640,4578389,3785280,3899424,3477026,3090397,2733516,2669795,2668821,2624516,3434226,3853304,4543797,4609535,3720331,3955799,3299421,2740345,2557803,2608000,2493960,2640740
"Ptuj","Poslovni subjekti",8384750,7637610,7156780,6012932,6516814,7229957,7949451,7816257,7736786,7694327,6982974,7172179,7270669,6734494,7649075,6935464,7216184,8008476,8437000,8008183,7800086,7884322,7917677,8246225,8234977,7319825,8342695,7355750,8022529,8266172,8393673,8256244,7785148
"Puconci","Vrsta odjemalca - SKUPAJ",1905272,1617478,1902284,1641781,1529131,1558312,1570271,1622126,1577782,1820720,1834828,1959059,1909501,1732775,1851414,1631490,1679962,1594865,1560771,1508332,1489017,1721411,1702489,2127007,1930282,1600344,1760334,1556458,1443110,1461996,1439179,1410994,1438313
"Puconci","Gospodinjstva",1097889,902067,989067,938832,844983,801284,810308,827504,743520,883693,992153,1183933,1157892,1011531,1019523,926788,860165,836871,787758,798667,760213,909186,960140,1179289,1150366,925345,980886,846690,748145,712916,740535,718242,721493
"Puconci","Poslovni subjekti",807383,715411,913217,702949,684148,757028,759963,794622,834262,937027,842675,775126,751609,721244,831891,704702,819797,757994,773013,709665,728804,812225,742349,947718,779916,674999,779448,709768,694965,749080,698644,692752,716820
"Raèe - Fram","Vrsta odjemalca - SKUPAJ",3321931,2885196,2840879,2308698,2313957,2381661,2434349,2373055,2615808,3075240,3191780,3704903,3759790,3249664,3448633,3108140,2962415,2790589,2750179,2406386,2423124,2949547,3193296,3837755,3648858,3158690,3300074,2769558,2574005,2513420,2766824,2563636,2561555
"Raèe - Fram","Gospodinjstva",1793435,1385788,1474437,1224344,1106935,993251,983978,1020048,1028324,1286405,1565783,1980903,1907959,1542790,1551385,1382214,1183061,1033229,1012407,1009014,997768,1323305,1528593,1992715,1908587,1506415,1591245,1310060,1058112,967879,988021,975150,1026837
"Raèe - Fram","Poslovni subjekti",1528496,1499408,1366442,1084354,1207022,1388410,1450371,1353007,1587484,1788835,1625997,1724000,1851831,1706874,1897248,1725926,1779354,1757360,1737772,1397372,1425356,1626242,1664703,1845040,1740271,1652275,1708829,1459498,1515893,1545541,1778803,1588486,1534718
"Radeèe","Vrsta odjemalca - SKUPAJ",3783136,3595921,3804738,3443700,3516779,3324110,3354244,3307975,2862930,3596445,3463899,3874522,3819550,3624986,4038891,3909345,3757584,3612403,3650569,3730848,3702842,3863357,3906435,4261013,4081879,3903153,3936148,3765482,3802067,3650267,3721248,3567986,3616321
"Radeèe","Gospodinjstva",637411,554136,605592,548429,536322,509811,510633,512561,502328,550650,587877,685235,672447,598463,604327,661136,587856,514856,529482,500722,469588,549287,592034,732189,670168,587171,609327,532644,445516,469153,463848,451159,464706
"Radeèe","Poslovni subjekti",3145725,3041785,3199146,2895271,2980457,2814299,2843611,2795414,2360602,3045795,2876022,3189287,3147103,3026523,3434564,3248209,3169728,3097547,3121087,3230126,3233254,3314070,3314401,3528824,3411711,3315982,3326821,3232838,3356551,3181114,3257400,3116827,3151615
"Radenci","Vrsta odjemalca - SKUPAJ",1977536,1689603,1843652,1553473,1712406,1851797,1968219,1875984,1714800,1606082,1612408,2020027,1934579,1624528,1855180,1626314,1820441,1832238,2151898,1894386,1701041,1664666,1838786,2154997,2054644,1699366,1905683,1891231,1752882,1867691,1842348,2129394,1838668
"Radenci","Gospodinjstva",1040999,823590,867772,751052,674716,614714,646839,643605,617943,763327,880831,1114430,1132258,916965,897496,792232,703291,613780,628301,616237,601201,778261,884867,1140672,1083291,862724,919731,866399,517190,564437,599871,583809,603955
"Radenci","Poslovni subjekti",936537,866013,975880,802421,1037690,1237083,1321380,1232379,1096857,842755,731577,905597,802321,707563,957684,834082,1117150,1218458,1523597,1278149,1099840,886405,953919,1014325,971353,836642,985952,1024832,1235692,1303254,1242477,1545585,1234713
"Radlje ob Dravi","Vrsta odjemalca - SKUPAJ",2783359,2517022,2568973,1897641,1769901,2067265,2215185,2142765,2317505,2488033,2625701,2754313,2935953,2557348,2767583,2473682,2314197,2265394,2339074,2175857,2219181,2487199,2618793,2972725,3066042,2583433,2894484,2348903,2275078,2212507,2216743,2104034,2264309
"Radlje ob Dravi","Gospodinjstva",1163806,981845,1042227,918137,851861,879644,781186,775227,767415,939725,1048362,1261879,1276455,1044400,1078641,992331,854274,791187,761101,761501,763771,936254,1013163,1356651,1313668,950152,1085687,946011,752240,724323,725093,716681,742997
"Radlje ob Dravi","Poslovni subjekti",1619553,1535177,1526746,979504,918040,1187621,1433999,1367538,1550090,1548308,1577339,1492434,1659498,1512948,1688942,1481351,1459923,1474207,1577973,1414356,1455410,1550945,1605630,1616074,1752374,1633281,1808797,1402892,1522838,1488184,1491650,1387353,1521312
"Radovljica","Vrsta odjemalca - SKUPAJ",7913970,6980706,7023771,5926643,6336155,6343389,6706464,6705992,6794366,7050984,7102256,7532282,8039006,6834299,7459959,6784880,7001427,6795294,7047986,6591140,6833664,7211417,7615890,8034643,8250454,7089177,8093090,6987055,7090988,7072172,6763044,6638520,6782826
"Radovljica","Gospodinjstva",3398758,2930250,3129598,2785995,2625440,2338173,2310740,2409212,2433048,2814266,3141855,3620155,3919082,3096920,3307332,2920788,2725296,2264923,2241426,2320501,2396574,2946204,3168970,3569747,3708917,3162483,3303371,2812602,2441589,2175414,2170200,2203499,2347459
