"OBÈINE","SKD DEJAVNOST","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Komenda","K Finanène in zavarovalniške dejavnosti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Komenda","L Poslovanje z nepremièninami",22667,23397,19310,10500,12441,14018,18721,20729,17217,16373,14966,18089,21095,18126,19253,17550,22134,24503,23730,21753,20154,20275,18710,21728,19516,17044,21747,19578,20601,22013,25317,23640,21301
"Komenda","M Strokovne, znanstvene in tehniène dejavnosti",49888,48282,40132,29056,24431,21796,29054,39008,41346,42758,43760,43011,43739,38819,45671,38738,38355,37746,38012,38200,45111,41155,43710,52335,58722,59404,74173,42172,35936,30583,27695,42189,40172
"Komenda","N Druge raznovrstne poslovne dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,400741,397038,507278,515981,278206,383942,410932,505579,523544,493227,474436,553903,483935,575902,580439,555489,395396,560636
"Komenda","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Komenda","P Izobraževanje",26277,19414,13361,13564,24168,33596,21043,19292,29467,20063,13245,33692,20140,21143,31222,16705,24118,33443,24304,17957,32322,28426,19853,47274,27855,21530,23050,20988,35633,41651,26657,21527,38098
"Komenda","Q Zdravstvo in socialno varstvo",1747,1745,1070,467,564,1546,846,1105,2096,1874,1818,1760,1713,1064,2761,1955,1789,1697,1017,1298,2090,2157,2287,2112,2218,2190,2783,6641,7186,7837,6128,9580,7536
"Komenda","R Kulturne, razvedrilne in rekreacijske dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Komenda","S Druge dejavnosti",8774,8226,7928,6504,7995,8328,8552,8448,8654,7951,6628,7397,7465,6907,8487,7357,8037,8521,9499,9950,8858,8817,9377,9457,9115,8962,9423,9381,9784,9025,9514,9703,8729
"Komenda","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
